date_time,cases,report_date
2020-02-26,106,2020-04-07
2020-02-27,100,2020-04-07
2020-02-28,161,2020-04-07
2020-02-29,133,2020-04-07
2020-03-01,319,2020-04-07
2020-03-02,309,2020-04-07
2020-03-03,358,2020-04-07
2020-03-04,399,2020-04-07
2020-03-05,473,2020-04-07
2020-03-06,605,2020-04-07
2020-03-07,687,2020-04-07
2020-03-08,984,2020-04-07
2020-03-09,1599,2020-04-07
2020-03-10,1760,2020-04-07
2020-03-11,2193,2020-04-07
2020-03-12,3122,2020-04-07
2020-03-13,4123,2020-04-07
2020-03-14,4552,2020-04-07
2020-03-15,5554,2020-04-07
2020-03-16,6844,2020-04-07
2020-03-17,6057,2020-04-07
2020-03-18,5886,2020-04-07
2020-03-19,7481,2020-04-07
2020-03-20,8430,2020-04-07
2020-03-21,8440,2020-04-07
2020-03-22,8836,2020-04-07
2020-03-23,9529,2020-04-07
2020-03-24,6854,2020-04-07
2020-03-25,6348,2020-04-07
2020-03-26,9964,2020-04-07
2020-03-27,9788,2020-04-07
2020-03-28,9378,2020-04-07
2020-03-29,8738,2020-04-07
2020-03-30,7950,2020-04-07
2020-03-31,4352,2020-04-07
2020-04-01,2255,2020-04-07
2020-04-02,1185,2020-04-07
2020-04-03,243,2020-04-07
2020-04-04,132,2020-04-07
2020-04-05,47,2020-04-07
2020-04-06,9,2020-04-07
2020-04-07,0,2020-04-07
2020-01-12,0,2020-04-01
2020-01-13,0,2020-04-01
2020-01-14,3,2020-04-01
2020-01-15,0,2020-04-01
2020-01-16,1,2020-04-01
2020-01-17,0,2020-04-01
2020-01-18,1,2020-04-01
2020-01-19,0,2020-04-01
2020-01-20,2,2020-04-01
2020-01-21,1,2020-04-01
2020-01-22,3,2020-04-01
2020-01-23,0,2020-04-01
2020-01-24,3,2020-04-01
2020-01-25,3,2020-04-01
2020-01-26,0,2020-04-01
2020-01-27,1,2020-04-01
2020-01-28,2,2020-04-01
2020-01-29,1,2020-04-01
2020-01-30,3,2020-04-01
2020-01-31,1,2020-04-01
2020-02-01,3,2020-04-01
2020-02-02,4,2020-04-01
2020-02-03,0,2020-04-01
2020-02-04,0,2020-04-01
2020-02-05,1,2020-04-01
2020-02-06,2,2020-04-01
2020-02-07,1,2020-04-01
2020-02-08,3,2020-04-01
2020-02-09,1,2020-04-01
2020-02-10,5,2020-04-01
2020-02-11,6,2020-04-01
2020-02-12,2,2020-04-01
2020-02-13,5,2020-04-01
2020-02-14,7,2020-04-01
2020-02-15,10,2020-04-01
2020-02-16,6,2020-04-01
2020-02-17,16,2020-04-01
2020-02-18,18,2020-04-01
2020-02-19,11,2020-04-01
2020-02-20,20,2020-04-01
2020-02-21,31,2020-04-01
2020-02-22,28,2020-04-01
2020-02-23,33,2020-04-01
2020-02-24,67,2020-04-01
2020-02-25,51,2020-04-01
2020-02-26,93,2020-04-01
2020-02-27,85,2020-04-01
2020-02-28,129,2020-04-01
2020-02-29,117,2020-04-01
2020-03-01,256,2020-04-01
2020-03-02,254,2020-04-01
2020-03-03,294,2020-04-01
2020-03-04,327,2020-04-01
2020-03-05,384,2020-04-01
2020-03-06,496,2020-04-01
2020-03-07,512,2020-04-01
2020-03-08,757,2020-04-01
2020-03-09,1188,2020-04-01
2020-03-10,1265,2020-04-01
2020-03-11,1637,2020-04-01
2020-03-12,2198,2020-04-01
2020-03-13,2881,2020-04-01
2020-03-14,3026,2020-04-01
2020-03-15,3688,2020-04-01
2020-03-16,4150,2020-04-01
2020-03-17,3456,2020-04-01
2020-03-18,3270,2020-04-01
2020-03-19,3899,2020-04-01
2020-03-20,4024,2020-04-01
2020-03-21,3793,2020-04-01
2020-03-22,3327,2020-04-01
2020-03-23,2806,2020-04-01
2020-03-24,1809,2020-04-01
2020-03-25,1359,2020-04-01
2020-03-26,1002,2020-04-01
2020-03-27,487,2020-04-01
2020-03-28,218,2020-04-01
2020-03-29,119,2020-04-01
2020-03-30,38,2020-04-01
2020-03-31,9,2020-04-01
2020-04-01,0,2020-04-01
